price_date,source_platform,category_normalized,avg_price,median_price,min_price,max_price,obs_count
2026-03-30 10:27:18.415888+00:00,jumia,tv,4429.0,4429.0,4429.0,4429.0,2
2026-03-30 10:27:18.417956+00:00,jumia,tv,1079.0,1079.0,1079.0,1079.0,1
2026-03-30 10:27:18.420007+00:00,jumia,tv,1899.0,1899.0,1899.0,1899.0,1
2026-03-30 10:27:18.422187+00:00,jumia,tv,4939.0,4939.0,4939.0,4939.0,2
2026-03-30 10:27:18.423853+00:00,jumia,tv,1979.0,1979.0,1979.0,1979.0,2
2026-03-30 10:27:18.426020+00:00,jumia,tv,5099.0,5099.0,5099.0,5099.0,1
2026-03-30 10:27:18.427886+00:00,jumia,tv,1179.0,1179.0,1179.0,1179.0,2
2026-03-30 10:27:18.429534+00:00,jumia,tv,3599.0,3599.0,3599.0,3599.0,1
2026-03-30 10:27:18.431534+00:00,jumia,tv,1349.0,1349.0,1349.0,1349.0,2
2026-03-30 10:27:21.323686+00:00,jumia,vetements,113.0,113.0,113.0,113.0,2
2026-03-30 10:27:21.325682+00:00,jumia,vetements,86.0,86.0,86.0,86.0,2
2026-03-30 10:27:21.328220+00:00,jumia,vetements,124.0,124.0,124.0,124.0,2
2026-03-30 10:27:21.330213+00:00,jumia,vetements,162.0,162.0,162.0,162.0,2
2026-03-30 10:27:21.332299+00:00,jumia,vetements,140.0,140.0,140.0,140.0,2
2026-03-30 10:27:21.335335+00:00,jumia,vetements,97.0,97.0,97.0,97.0,2
2026-03-30 10:27:21.337334+00:00,jumia,vetements,146.0,146.0,146.0,146.0,2
2026-03-30 10:27:21.339746+00:00,jumia,vetements,126.0,126.0,126.0,126.0,2
2026-03-30 10:27:21.342407+00:00,jumia,vetements,103.0,103.0,103.0,103.0,2
2026-03-30 10:27:21.344458+00:00,jumia,vetements,101.0,101.0,101.0,101.0,2
2026-03-30 10:27:21.346497+00:00,jumia,vetements,113.0,113.0,113.0,113.0,2
2026-03-30 10:27:21.349283+00:00,jumia,vetements,126.0,126.0,126.0,126.0,2
2026-03-30 10:27:21.354551+00:00,jumia,vetements,180.0,180.0,180.0,180.0,2
2026-03-30 10:27:21.357104+00:00,jumia,vetements,118.0,118.0,118.0,118.0,2
2026-03-30 10:27:21.359197+00:00,jumia,vetements,103.0,103.0,103.0,103.0,2
2026-03-30 10:27:21.363392+00:00,jumia,vetements,129.0,129.0,129.0,129.0,2
2026-03-30 10:27:21.365392+00:00,jumia,vetements,162.0,162.0,162.0,162.0,2
2026-03-30 10:27:21.368344+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.370372+00:00,jumia,vetements,45.0,45.0,45.0,45.0,2
2026-03-30 10:27:21.371949+00:00,jumia,vetements,48.0,48.0,48.0,48.0,2
2026-03-30 10:27:21.373578+00:00,jumia,vetements,115.0,115.0,115.0,115.0,2
2026-03-30 10:27:21.377330+00:00,jumia,vetements,117.0,117.0,117.0,117.0,2
2026-03-30 10:27:21.378345+00:00,jumia,vetements,45.0,45.0,45.0,45.0,2
2026-03-30 10:27:21.382469+00:00,jumia,vetements,89.0,89.0,89.0,89.0,2
2026-03-30 10:27:21.384818+00:00,jumia,vetements,60.0,60.0,60.0,60.0,2
2026-03-30 10:27:21.386854+00:00,jumia,vetements,90.0,90.0,90.0,90.0,2
2026-03-30 10:27:21.388258+00:00,jumia,vetements,63.0,63.0,63.0,63.0,2
2026-03-30 10:27:21.390364+00:00,jumia,vetements,150.0,150.0,150.0,150.0,2
2026-03-30 10:27:21.393411+00:00,jumia,vetements,87.0,87.0,87.0,87.0,2
2026-03-30 10:27:21.395522+00:00,jumia,vetements,29.0,29.0,29.0,29.0,2
2026-03-30 10:27:21.396719+00:00,jumia,vetements,120.0,120.0,120.0,120.0,2
2026-03-30 10:27:21.399661+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.401484+00:00,jumia,vetements,108.0,108.0,108.0,108.0,2
2026-03-30 10:27:21.403701+00:00,jumia,vetements,90.0,90.0,90.0,90.0,2
2026-03-30 10:27:21.406717+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.408786+00:00,jumia,vetements,54.0,54.0,54.0,54.0,2
2026-03-30 10:27:21.410761+00:00,jumia,vetements,72.0,72.0,72.0,72.0,2
2026-03-30 10:27:21.412756+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.414821+00:00,jumia,vetements,69.0,69.0,69.0,69.0,2
2026-03-30 10:27:21.416819+00:00,jumia,vetements,81.0,81.0,81.0,81.0,2
2026-03-30 10:27:21.418819+00:00,jumia,vetements,216.0,216.0,216.0,216.0,2
2026-03-30 10:27:21.420818+00:00,jumia,vetements,54.0,54.0,54.0,54.0,2
2026-03-30 10:27:21.422380+00:00,jumia,vetements,65.0,65.0,65.0,65.0,2
2026-03-30 10:27:21.424398+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.425448+00:00,jumia,vetements,29.0,29.0,29.0,29.0,2
2026-03-30 10:27:21.428015+00:00,jumia,vetements,39.0,39.0,39.0,39.0,2
2026-03-30 10:27:21.430068+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.432171+00:00,jumia,vetements,132.61,132.61,132.61,132.61,2
2026-03-30 10:27:21.434238+00:00,jumia,vetements,59.0,59.0,59.0,59.0,2
