name,price,category,source,url,scraped_at,source_label
"75 QLED 4K UHD Smart Google TV Dolby Vision, Atmos, ONKYO Audio, 144Hz, 75P8K",11061.98,tv,jumia,,2026-06-12T15:13:32.370490,
Chemise Pour Femmes - Vert,111.28,vetements,jumia,,2026-06-12T15:13:38.963062,
Cardigan Pour Femmes vert,102.4,vetements,jumia,,2026-06-12T15:13:39.311962,
Pantalon Jean Patte d'Éléphant Elastique - Noir,130.68,vetements,jumia,,2026-06-12T15:13:44.408213,
"32 HD Smart Android TV panneau A+, Dolby Audio, Wi-Fi, HDMI/USB, YouTube + Support Gratuit",1076.03,tv,jumia,,2026-06-12T15:13:54.360397,
OnePlus 15 512Go 12Go RAM – Prix,9189.06,smartphones,micromagma,,2026-06-12T15:14:19.040195,
"Support Teléphone de voiture Magnétique à Aimant Mural cuisine, bureau, maison",35.41,smartphones,jumia,,2026-06-12T15:15:24.543377,
"50 QLED 4K UHD Smart Google TV HDR10, Dolby Audio, 120 Hz, QLED50GU25DK, 2 ans garantie",4679.82,tv,jumia,,2026-06-12T15:15:49.092337,
Huawei Pura 70 256Go 12Go RAM – Prix,4828.82,smartphones,micromagma,,2026-06-12T15:15:55.694089,
Pantalon Jean Charlie Large Femme - Noir,136.41,vetements,jumia,,2026-06-12T15:15:58.150447,
PC Portable ELITEBOOK X360 G3 I5-8éme -16GB- 512GB SSD - TACTILE - REMIS À NEUF,3702.8,laptops,jumia,,2026-06-12T15:16:03.346686,
"HP 15 i5-1334U 15,6 pouces 512Go 8Go RAM 9D6W0EA | PRIX",6870.0,laptops,micromagma,,2026-06-12T15:16:16.918530,
Pc Gamer Core i5 - 4th Gén -16Go DDR3 - 256Go SSD + 1To HDD - AMD FirePro (Remis à Neuf),1646.32,laptops,jumia,,2026-06-12T15:16:18.611741,
Realme C75 256Go 8+16Go RAM | PRIX,1882.72,smartphones,micromagma,,2026-06-12T15:16:20.949046,
Gilet Croisé Noir - G1948E25,49.97,vetements,jumia,,2026-06-12T15:16:26.821889,
Motorola Moto G56 512Go 8Go RAM | PRIX,2880.33,smartphones,micromagma,,2026-06-12T15:16:29.059696,
Chemise courte en tissu gaufré Coupe slim,48.78,vetements,jumia,,2026-06-12T15:16:54.052149,
Chargeur Mural Rapide Double Port 38W – USB & Type-C (PD + QC 3.0),65.42,smartphones,jumia,,2026-06-12T15:16:57.032625,
"Chaussettes Plates Antidérapantes pour Bébé Garçon et Fille, Chaussures Légères et Confortables, Mig",82.25,vetements,jumia,,2026-06-12T15:16:57.681689,
Bluetooth Casque Brillant Mignon Chat & Oreille Patte Sans Fil RGB Lumière,184.82,laptops,jumia,,2026-06-12T15:17:09.130534,
Pull en tricot à col rond Coupe régulière,62.78,vetements,jumia,,2026-06-12T15:17:31.362428,
Oppo Reno 15F 512Go 12Go RAM | PRIX,4949.52,smartphones,micromagma,,2026-06-12T15:17:33.205831,
MacBook Air 13-inch 2017 i7 8RAM / 128 Go SSD,3429.4,laptops,micromagma,,2026-06-12T15:17:37.176517,
Huawei Mate XT 512Go 16Go RAM – Prix,19561.09,smartphones,micromagma,,2026-06-12T15:17:44.713105,
PC GAMER EVGA I7-4790K / 16GB DDR4 / 240GB SSD + 1To HDD / GeForce 770 4GB (Remis à Neuf ),3811.02,laptops,jumia,,2026-06-12T15:17:50.082515,
Apple MacBook Pro M4 14 pouces CPU 12 Cœurs GPU 16 Cœurs 1To 24Go RAM – Prix,20829.12,laptops,micromagma,,2026-06-12T15:18:02.190132,
